,anonymisation,occupation,job_title,company_name,gender
295,christopher26,SAS Clinical Programmer,SAS Clinical Programmer in pharmaceutical industry,,male
296,scottwhite,,Etudiante en L3 MIASHS,,female
297,byoung,Alternant chargé d'études statistiques,Étudiant en développement big data et IA,,male
298,stoneheather,Consultante Stratégie SFE (Sales Force Effectiveness),Analyste Développeuse B.I /Business Intelligence/ Big Data/ Informatique décisionnelle Experte Power BI/ Power Apps,SFELAB+ PHARMA,female
299,julia67,Président Fondateur,Co-op R&D engineer at ESII - Student in Embedded Systems at Polytech Engineering School - President of SAS MonSauveteur,MonSauveteur,male
300,ypotter,Data Scientist ,Data science in the healthcare and bio-informatics,CHU de Montpellier,female
301,michael98,Data Analyst & Financial Controller,FREE-LANCE Data Analyst & Financial Controller,,female
302,price,Data analyst,Data analyst | Docteur en biophysique quantitative,,male
303,crystalbooth,Data Scientist,Data scientist,CHU de Montpellier,female
304,nclark,Data Analyst,Management assistant at RSM France,,female
305,pennywalker,Ingénieure performance,Ingénieure performance,,female
306,wendydiaz,Consultante Data Analyst,Ingénieure développement / Data analyst,,undetermined
307,ufowler,Manager Data,Manager Data | PwC,,male
308,amanda27,Data Analyst / Data Scientist / Financial Economist,Data Analyst @ Montpellier Business School,,male
309,joshua99,Data Analyst/ Engineer,on the lookout for a Data Engineer Internship/Apprenticeship 👀,,male
310,jacqueline21,Data Scientist,Data Scientist/ Data Analyst,,male
311,fstephenson,Analyste junior indépendant,📊 Analyste Junior & Marketer Passionné 🚀 | Expertise en Marketing Digital & Stratégie BtoB | Spécialiste CRM & Data Analysis | 11 ans d'expérience en Ventes & Marketing.,BASTIEN PESENTI,male
312,jessica21,,Ph.D. Student - Ecole doctorale Sciences de l’environnement d’Ile de France  Sorbonne Université,,male
313,adkinsashley,Data Analyst,Data Analyst,,male
314,adrian52,Data Analyst,Senior Business Analyst,,female
315,caitlyn14,Etudiant en première année du Master Biodiversité Ecologie Evolution,Biostastician in conservation ecology   MSc (Ecology  Evolution  Genomics)  Ph.D (Health ecology),,male
316,cheryltaylor,Customer Data Analyst,Customer Data Analyst,Studi,female
317,jeffrey74,Associé gérant,Gérant de Geonov,Geonov,male
318,ann51,,Data Analyst at Preply,,male
319,jasmine11,Data Analyst,Data Analyst at Melo.io,,male
320,tamirodriguez,Data analyst,Looking for a post-doc,,male
321,sherry07,Operating Director France  Systems Integration Division,Operating Director France  Systems Integration Division,,male
322,jessicapeters,Statisticien spécialiste des données territoriales,D-SIDD - Statisticien spécialiste des données territoriales,beta.gouv.fr,male
323,james50,Data analyst production,Data Analyst Production chez Ubisoft,,male
324,lmartin,Freelance Data Analyst,Étudiant Master IA School '24-26 | Data Analyst |,,male
325,taylorsydney,Assistant dentaire ,À votre service,,male
326,wallacekristina,Sciences de la vie BCP physiologie de l'UVSQ  -  thématique bio cellulaire  physio  biochimie  génomique  -  interdisciplinarité : anglais  maths  physique  chimie  python appliqué à la génomique,Biostatisticienne | Projet WEALTH | EREN (Equipe de Recherche en Epidémiologie Nutritionnelle)  CRESS  Université Sorbonne Paris Nord,,female
327,gcopeland,,Étudiant en Master Intelligence Artificielle et Sciences des Données,,male
328,xsullivan,Aixial contractor Statistical Programmer for MSD,Statistical programmer,,male
329,warrenrachel,Data Analyst,Data Analyst chez PwC France,PwC France,male
330,beckerangel,Prop Firm Trader,ENSAI student,Nawak,male
331,paul23,Développeur Power BI/ Chef de projet,Expert informatique et systèmes d'information,,female
332,osanders,,étudiante en Master 2 (Économie numérique) à l'Université de Montpellier,,female
333,melindapark,Data Analyst,Data Analyst chez Sanofi,,female
334,aweaver,Cheffe de projet,Project Manager,Atos,female
335,brooke42,Analyste de données,BUSINESS & MANAGEMENT CONSULTANT,Atos,female
336,williamsdonna,Data analyst purchasing,Data Analyst Purchasing chez Comeca,Comeca Group,male
337,mercadokristin,Senior Data Analyst,Data Analyst,,male
338,jonesheidi,Expert Informatique,Seeking a position in the field of Data and AI |,,male
339,wwalton,Technicien service d’assistance informatique,Data Analyst Junior,,male
340,bergerallison,Chargé d'études fiscales,Data Analyst | Data Scientist | Analyste Économique et Statistique |Expert en Big Data et analyse des Risques | Expert en Économie du Développement et des Finances Publiques.,,male
341,charles46,Data analyst,Data analyst chez Orange,,male
342,pwhite,Data Analyst | MH Tech,Data Analyst,,male
343,leekelly,Data scientist - Data analyst,Data Scientist - Machine Learning Engineer,,female
344,shieldschad,Data Analyst et Auditeur IT,Data Analyst Junior,,male
345,ngutierrez,Gestionnaire de base de données,Technicien de bureau d'étude / Chargé Webmarketing,,male
346,carlsonallison,Analyste de données et géomaticien,Stagiaire Data Analyst chez 8.2 France Montpellier,,male
347,qlopez,Business Analyst,A étudié à : Université de Montpellier,,male
348,rebeccavalencia,Data analyst,Data Analyst | Business Analyst | SQL | Python | Data visualization,,female
349,stefaniegreen,Analyste de données IA,Élève en Master M2 MTD a l'École Universitaire de Management de l'IAE Montpellier,FLB Group GT2i,male
350,xgonzalez,Freelance - Web  Data  DevOps  Linux  Git  Full Stack  Rest API,Ingénieur Freelance Développeur Data  Python  API  Web  AI  PostgreSQL  Go  JS  Microservices,,male
351,walkeremily,Senior business advisor,Développement commercial  facilitateur négociations Achats industriels & Ventes grands comptes  Marketing  Merchandising. AIMG RPCG,Compagnie Des Acheteurs de France,male
352,laura92,Ingénieur de recherche,MS  Engineer  PhD,CHU de Montpellier,male
353,wbrown,Data Analyst / Data Scientist,Data Analyst / Data Scientist @ZIWIT | Ingénieure en IA | Certifiée Microsoft 3x,,female
354,harry93,,Étudiante en finance à l’ESG Montpellier,,female
355,john05,Stage Data analyst,Recherche d'emploi Big data et Data Analyst,,male
356,richard29,Ingénieur biostatisticien ,Ingénieur biostatisticien ISDM/Université de Montpellier,Université de Montpellier,male
357,trujillobrittany,ERP Consultant,Data analyst,,male
358,steventurner,Gestionnaire de données,Data Analyst,Safer Occitanie,female
359,pgreene,Gestionnaire de données reconnaissance IA,AI Data Recognition,,female
360,clarknichole,Parents@ Lead | Diversity & Belonging,Data Analyst | Airbnb Alumni | Trilingual English-French-Spanish,,female
361,susanbryan,Géomaticienne / Data Analyst,Géomaticienne / Data Analyst,Association AVEC,female
362,amy93,Advanced Business Development Manager,Advanced Business Development Manager chez Capgemini Engineering,,female
363,laurenjames,Data & IA Engineer,Data Analyst/Scientist,,male
364,kylemorales,Data Analyst,Étudiant en master Marketing & Data Analytics,Repar'stores,male
365,xgross,Analyste de données,Data Analyst,,female
366,brandon18,Data Analyst,Data Analyst chez PwC Montpellier,,male
367,sbanks,,Étudiant(e) à Université de Montpellier - Faculté des sciences Licence 3 mention biologie écologie,Association AILERONS,female
368,harold43,Audit It et data analyst,Data analyst chez PWC,,male
369,darellano,Senior Sales Specialist,Senior Sales Specialist chez Swile - Titres-Restaurant / Déplacement Pro / Titres-Cadeaux / Billetterie CSE,Swile,male
370,lawrencematthew,Dataviz Consultant,Software Engineer specialized in Data Visualization | React - D3.js - R - Python,,male
371,aaronmccormick,Data Team Lead,Lead Data @Wefight,,female
372,anna84,Data Analyst & R Shiny Developer consultant at Sanofi,Data Analyst | R Shiny Developer consultant at Sanofi,Sanofi,male
373,susandavis,Ingénieur Digitalisation Usine 4.0 | Data Analyst,Étudiante à l’École Centrale de Lyon,,female
374,jenniferhowe,Gestionnaire de données,Gestionnaire de données,Association Gammes,male
375,rcampbell,Chargé d'études statistiques et pricing ,Data Analyst (Revenue management),,male
376,audrey79,Data Analyst,Data Analyst Freelance | Tableaux de bord Excel & Tableau | Analyses & datavisualisation,Freelance,female
377,valentinescott,Responsable produit,Product Owner & Growth @Bricks.co,Bricks.co,male
378,ramirezkathryn,,Ingénieur d’étude en statistiques,Université de Montpellier,female
379,riverakimberly,Data Analyst,Data Analyst Enedis,,female
380,christopherlopez,Data analyste,Data analyste Chez les Domaines Paul Mas,Domaines Paul Mas,male
381,lisapotter,Data Analyst/Business Analyst,Data Science,Sogetrel,male
382,kirk46,Data Analyst | Expert Géomarketing,Geographer-Urban planner | Geomatics expert | Data Analyst | Application Developer | Geo Themes Discloser,,male
383,qholmes,Expert métier clients comptes packages,Expert CCP au crédit agricole Languedoc,Crédit Agricole du Languedoc,male
384,natalie14,Contrôleuse de gestion,Contrôleuse de gestion,OCEANIS PROMOTION,female
385,heathererickson,Traffic Manager,Data Analyst,,male
386,william86,Product Data Analyst,Product Data Analyst @ Teads | Ex-Back Market | Grenoble Ecole de Management (GEM),,male
387,terry26,Chargé de pilotage des données  des classements et DPD,BUSINESS ANALYST - DATA ANALYST,Ministère de l'Agriculture,male
388,xbrown,Data Analyst à la Direction du Patrimoine Groupe,Data Analyst à la Direction du Patrimoine Groupe,,male
389,bakerashley,Psychologue - Analyste de données  Administrateur système et Pilotage,Psychologue  Data analyste certifié Power BI et Responsable pilotage,SNCF Réseau,male
390,russellmurphy,Data Analyst,Data Analyst en alternance,,male
391,herreramatthew,Analyste de données,Data Analyst,Logitrade,male
392,johnfuller,Ingénieur d'étude statisticien chargé de travaux relatifs à la pulvérisation viticole et arboricole,Doctorant  INRAE de Montpellier,,male
393,webbkimberly,Regional Coordinator,✔️Regional Coordinator • MEDEF · ✔️Vice President • JCI Montpellier,Mouvement des Entreprises de France,male
394,danielle78,Product Data Analyst,Product Data Analyst at Teads,,male
395,ibanks,Data analyst,Data analyst chez RG System,,male
396,stevenglover,Data Analyst/Engineer,Data engineer 🧑🏻‍💻| Data analyst BI | Master IA & Data Science,,male
397,jaime30,chargée d'études,Ingénieure de recherche,IRAM,female
398,mcastro,Cloud Data Expert,Cloud Data Expert,,male
399,marvin80,Data Analyst | Consultante Data,Data Analyst | Consultante Data,,female
400,sydneyharding,Data Analyst,𝗢𝗻 𝗼𝗽𝘁𝗶𝗺𝗶𝘀𝗲 𝘁𝗼𝗻 𝗲𝗻𝘁𝗿𝗲𝗽𝗿𝗶𝘀𝗲 𝗮𝘃𝗲𝗰 𝗹𝗲𝘀 𝗼𝘂𝘁𝗶𝗹𝘀 𝗠𝗶𝗰𝗿𝗼𝘀𝗼𝗳𝘁 🍓 | Data Analyst @Youngdata.io | UI & UX maniac | Power Apps | Power Automate | Power BI | Dataverse | Python,,male
401,elaineharvey,Lead dev / DevOps,Lead Dev / Devops chez Acelys Services Numériques,,male
402,gkelley,Chargée de mission SIG  numérique et données,Chargée de mission SIG  numérique et données,Montpellier Méditerranée Métropole,female
403,phillipskristin,Data analyst,Étudiante en Master Ingénierie des données à l’EPSI de Montpellier,,female
404,nicole75,,MSc in Biochemistry and Quantitative Biology,,female
405,suzannematthews,Data Analyst,Data Analyst,,female
406,ykelly,Data Analyst - Data Scientist,Alternant M2 Mathématiques et Informatique | Science des données,Ekwateur,male
407,patriciarodriguez,Data Scientist / Data Engineer,Data Scientist / Data Engineer / Economist,,male
408,kristadavis,Senior Product Data Analyst @Teads,Senior Product Data Analyst @Teads,,female
409,mgarcia,Analyste questions clients,Essec Business School | Montpellier Management,Espelia,female
410,brittany24,YIELD ENGINEER / DATA ANALYST,YIELD ENGINEER / DATA ANALYST,,male
411,dennisjames,,étudiant université d'économie,,male
412,kelly30,Analyste Data,Analyste Data chez Crédit Agricole du Languedoc,Crédit Agricole du Languedoc,male
413,poolegeorge,Data analyst,Data analyst | PWC,PwC France,male
414,kevinray,,Biological Sciences University Student,,female
415,sandersangela,Technical Lead in Data Science,Data Scientist,,male
416,zwebster,AI Engineer,Data analyst | Data scientist 🧮 | BI 📊 | Project Manager IT,,male
417,jennifer32,Data & IA Engineer,Data/IA Engineer,,male
418,timothy90,Lead Developer / Architect logiciel,Lead Developer / Architect logiciel chez Maline Immobilier,Maline Immobilier,male
419,apatrick,Réalisation de projet personnel,En recherche,,male
420,carl51,Développeuse sénior,Senior Software Engineer,,female
421,josesmith,Business Development Manager,Business Development Manager at SATT AxLR,,female
422,tiffany42,Analyste de données,Formation Expert SEO chez Oreegami effectuée | Disponible pour une alternance ou un stage,,male
423,uherrera,Apprenant Responsable Marketing Digital Data Analyst,Futur Data Analyst | En recherche d'alternance.,,male
424,stephenedwards,Data Analyst,Data Analyst | Caisse d'Epargne Languedoc-Roussillon,Caisse d'Epargne Languedoc-Roussillon,female
425,brandonrivera,Manager,Manager chez PwC France,,male
426,mayanthony,Stage en Développement de Bases de Données,Data Analyst | Orange France,Orange,female
427,juliafisher,Business Analyst / Product Owner pour le Crédit  Agricole,Business Analyst confirmé,AUSY,male
428,rtownsend,Senior Software & Data Engineer,Ph.d in Big Data Mining,,male
429,annette22,Webdesigner,Coder and creator of unique digital experiences. Engineering student  IT & Management,Adour Gestion Informatique,female
430,kimberlybailey,Ingénieure agronome spécialisée en agrivoltaïsme d'élevage,Agricultural engineer specialized in sustainable crop production and agroecology,DAVELE,female
431,nicolemoss,Data analyst,Data Analyst,,male
432,james82,Chargé de développement commercial et Relations entreprises,Chargé de Développement Commercial et Relations Entreprises,Diderot Education,male
433,carrie53,,data analyst intern at Natixis,,male
434,barbara76,Analyste de données,Data analyst - Master Économie Numérique🎓,Acelys Services Numériques,female
435,morganlarry,Analyste de données,Data Analyst,,male
436,hbrowning,Ingénieur logiciels,🧩📚 Senior software engineer - Fullstack Web JS/TS,Convelio,male
437,cwinters,Customer Succes Manager,Customer success Manager,,female
438,pbennett,Ingénieur recherche,Research Engineer at IRD,Université de Montpellier,male
439,ramirezkyle,Enseignante droit du numérique,PhD/Consultante Droit de la protection des données - Manager de projets,,female
440,melinda09,Data analyst ordering ( Prestation Capgemini,Data Analyst,,female
441,paulernest,Chargée d'activité marketing relationnel,Data analyst,,female
442,amandahale,Ingénieur de données,Data Engineer | Data Analyst,Aéroport Montpellier Méditerranée,female
443,samanthaalexander,Data Analyst,Data Analyst chez Crédit Agricole du Languedoc,,male
444,ruizjennifer,Senior Product Consultant,Senior Product Consultant,,male
445,rsimmons,Product owner / Développeur no code FlutterFlow,Développeur No Code | Flutterflow | Firebase | Make,,male
446,bartonstephanie,Fondateur - Création Marque,Data Science Engineer - Quantitative Trading Analyst,,male
447,breannabrown,Data analyst,Contrôleur de gestion,,male
448,chriswilson,Senior Data Analyst,Senior Data Analyst chez PwC France,,male
449,michael92,Master chez Université des Sciences et de la Technologie 'Houari Boumediène',Master informatique - Université de Montpellier,Malakoff Humanis,male
450,richard32,Ingénieur administration système,Administrateur systèmes Linux HPC,CINES,male
451,lmcpherson,Ingénieur d’études,Agronomy engineering master's degree student (Resources  Agricultural Systems and Development),,female
452,elizabeth97,Product Data Analyst,Data-Driven Human,,female
453,ejimenez,,Market Risk Analysis Graduate,,male
454,michaelmiranda,Chef de projet informatique,Disponible immédiatement | Delivery Management | Gestion de Projet | Relation Client,,male
455,carrie77,ANALYSTE REMEDIATION DONNEES PRO - KYC ,Chargee de financement chez Crédit Agricole du Languedoc,Crédit Agricole du Languedoc,female
456,thomasshannon,Postdoctoral Researcher,Postdoctoral Researcher at the Institut de Recherche pour le Développement (IRD),,male
457,foxsteven,Project manager - Connectivity and Partnership,Project Manager | Connectivity and Partnership,,female
458,jodianderson,Consultant bi / Data Analyst ,Consultant BI,,male
459,ejohnson,Analyste bases de données,Analyste bases de données chez Agence nationale pour les chèques vacances,Agence nationale pour les chèques vacances,male
460,ogriffin,Data Analyst,Data analyst (Tableau  SQL  Alteryx),,male
461,elizabeth37,Contrôleur de gestion,Contrôleur de gestion chez Veolia,Veolia,female
462,jerryharris,,Étudiante en master 2 MBFA (Monnaie  Banque  Finance  Assurance) parcours système d'information économique et financier à la faculté d'économie de l'Université de Montpellier.,Daher,female
463,haguilar,,Analyste de données chez GCSMS ISI | Master 1 en Mathématiques et informatique,,male
464,christopher22,PhD student in modelisation and tropical ecology ,Ingénieure en traitement de données halieutiques  développement et maintenance de packages R,Centre national de la recherche scientifique,male
465,brennanrichard,Biostatistics and Data Intern,Health Data Analysis MSc Candidate,CHU de Montpellier,female
466,lauraclark,Chef de Projet / Data Analyst,Chef de Projet IT et BI,Orange,male
467,vjohnson,Responsable data analyste BI,Responsable BI,SOGETREL,male
468,torresjessica,Data Analyst,Data Analyst,,male
469,christopherpatel,Fondateur - Data Manager,Chef de projet data,Apen Data,male
470,nchase,Analyste de données,Data Scientist  Développeur Python,,female
471,joanna78,Auditeur Global Service Clients,Optimisation des organisations et systèmes - Chef de projet - Audit - Contrôle de gestion,,female
472,johnmiller,Data Analyst,Data Analyst,,male
473,xbenson,Ingénieur production Z/OS,ingénieur de production chez Conserto,Conserto,male
474,sarah47,Alternante Data Analyste,Data Analyste - DR LARO,Enedis,female
475,tfitzgerald,Gallery Assistant,Researcher | Data Analysis | Customer Experience | Passionate about Data & Human Behaviour,,female
476,gardnermichael,Data Manager NPL,Data Manager NPL chez Questel,Questel,male
477,cranesteven,Business Analyst Vision Care France and Benelux,International Business Analyst,Bausch + Lomb,male
478,deborahcastillo,Data Analyst,Data Analyst - B2C Apps - PhD,CENTRE HOSPITALIER INTERCOMMUNAL DU VAL d'ARIEGE,male
479,qhodges,Bio-informaticienne,💊 En recherche de nouvelles opportunités en Data Management des Opérations Cliniques,,female
480,pfranklin,assistant-sondage,Data analyst,Conseil départemental de l'Hérault,male
481,edward11,Data scientist,Data scientist,,male
482,omoore,Chef de projet etudes et CRM,Chef de projet Études et CRM,Caisse d'Epargne Languedoc-Roussillon,female
483,davidyoung,PhD student | Bird population trends analysis,Ingénieur de Recherche (IR),,male
484,jameslynn,Analyste de données,Analyste de maintenance conditionnelle éolien,EDF Renouvelables,male
485,rushcharles,Data analyst,Data Analyst Full Remote,,female
486,sanchezanthony,Data Analyst,Senior Data Analyst,PwC,female
487,ithomas,Assistante Data Analyst,Étudiant(e) à Université de Montpellier,,female
488,amanda71,Data Analyst,Data Analyst,,female
489,phillipscharles,Assistant de recherche - Mobilité Erasmus+,🌱 Sustainable Project Management  Digital Strategy & Communication,,male
490,danielfuller,Développeur applications,Data is knowledge,,male
491,vaughntracy,Analyste de données,Data analyste junior,,male
492,jjenkins,Data Analyst,Data Analyst,,male
493,gavin95,Alternante data analyst,Looking for a position in the field of Marketing and international trade 🌎,,female
494,joseph84,Analyste de données,Analyste de données chez CDC Habitat,CDC Habitat,male
495,jillcole,Analyste Audit IT et Data,Analyste Audit IT et Data,PwC France,female
496,igray,Data Architect,Data | AI | Pharmaceutical | Collaboration | Value Creation | EMBA AI,,male
497,kimberly42,Data-analyst,Data analyst chez PwC France,,female
498,kathleensantiago,Ingénieure,Data Scientist,,female
499,michaela18,Senior Dispute Resolution Specialist,Financial Data Analyst,,female
500,carrjames,,Étudiante en Master Management de la Transformation Digitale | Data Analyst | Innovation Technologique,Laboratoires Pierre Fabre,female
501,jason61,Audit IT & Data Analysis ,Diplômée du MSC Data Science and Organizational Behavior de BSB,,female
502,karinaruiz,Chargé d'activité au pilotage des risques,Chargé d'activité chez Crédit Agricole du Languedoc,Crédit Agricole du Languedoc,female
503,chelseaadams,Analyste de données,Analyste de données chez Diginamic,Diginamic,male
504,joseph56,Architecte en Cybersécurité Bac+4,Coordinatrice Cyber et Protection de la Donnée,,female
505,sandra40,Data analyst Expérience clients,Chargé d'études Data,,male
506,boothtammy,Data Analyst Audit,🔍Data Analyst | ETL (Alteryx) | Data Visualisation,PwC France,female
507,paul77,Data Analyst,GSC Europe Data Analyst | AI & Data Science Master Student,Schneider Electric,male
508,abbottdylan,Senior Data Scientist,Freelance Senior Data Scientist,La Plateforme de l'inclusion,female
509,victoriaortiz,Étudiant,Engineer in Statistics and Epidemiological Modeling | Master's in Biostatistics | UMR ASTRE  CIRAD,,female
510,taraphillips,Responsable du Pôle Projets - Direction des Systèmes d'Informations,Responsable du Pôle Projets - Direction des Systèmes d'Informations,Montpellier Business School,male
511,saraholland,,Analyste intégrateur,Acelys Services Numériques,male
512,veronica35,Data Manager,data manager chez kaliop,Kaliop,male
513,pdouglas,Analyste données financières,Master’s in Computer Science | Python Developer | Data Analyst | DevOps | MLOps | Available from July 2025,,male
514,fvaldez,IT Audit & Data Analyst,IT Audit & Data Analyst at PwC France,,male
515,smithalyssa,Freelance in Marketing and Digital Communication,Freelance in website design and other communication supports,PwC France,male
516,sherripreston,Assistante communications,Je suis chargée de communication  ma passion  c’est d’aider les entreprises à mieux communiquer via leurs réseaux sociaux | Site Internet | Réalisation graphique,,female
517,carrspencer,Product Owner - Digital Transformation & New Business model,Experienced Agile Product Owner | Operations and Strategy | ACSPO | CSPO | PSPO | Distinguished Toastmaster(DTM),,female
518,romerolinda,Analyste développeur data,Data analyst,Acelys Services Numériques,male
519,eric50,Senior Cloud Engineer,Senior Cloud Platform Engineer (DevOps) @ Teads,,male
520,caleb35,Project Data Manager,Project Data Manager,Datasulting,male
521,lynchandrew,Operations Business Analyst,Data Analyst,,male
522,agoodwin,Développeur WordPress,Freelance / CDD chez Indépendant,,male
523,hughestina,Energy Economist,Energy Economist,,male
524,russellkristen,Data Analyst,Data Analyst / Scientist | Python | SQL | Outils BI,,male
525,jallen,Data Analyst,Data Analyst,Orange,male
526,benjamin92,Développeur back-end,Developeur BackEnd,Warner Bros. Discovery,male
527,fkhan,,Analyste de données chez SeqOne,SeqOne,female
528,maxwell28,Data Analyst,Data analyst au rectorat de l'académie de Montpellier,Académie de Montpellier,male
529,ayoung,Analytics Engineer,Growth Product Manager @Appvizer - The media that digitalizes companies.,,male
530,ybrown,Product Data Analyst,Product Data Analyst,,male
531,john57,Manager Data & Analytics,Manager Data & Analytics | PwC,,male
532,mosleymichelle,Project Engineer,Data/Scada Engineer,EDF Renouvelables,male
533,jonathan56,Analyste SOC / Purple team,Analyste SOC,SNS SECURITY,male
534,victorhernandez,Analyste de Données d'Activité Hospitalière,Analyste de Données d'Activité  Recettes et Contrôle Interne - Direction financière - CHU de Nîmes,CHU de Nîmes,female
535,bjohnson,Data analyst CX,Data @Swile,,male
536,fward,Analyste de données,Data analyst chez PwC,PwC France,male
537,parkerlori,Alternant Social Media Manager et Data Analyst,Web Analyst,,male
538,jenniferyoung,Data analyst|Data Gouvernance intern,Data scientist | Data analyst,,male
539,murphythomas,Analyste de données,Data Analyst - Disneyland Paris,Disneyland Paris,male
540,daltonamber,Data analyst,Ingénieure Agronome AgroTIC,AtmoSud,female
541,blaketerri,Data analyst ,Analyst audit IT & Data,,male
542,frivera,Master Data Manager,Master Data Management at WPP | MSc in Blockchain and Digital Finance from Montpellier Business School |,,male
543,kaufmanjames,Contrôleur de Gestion / Data Analyst,Contrôleur de Gestion / Data Analyst freelance,Freelance,male
544,denise17,Ingénieure Analyste - Responsable Reporting et Gestion de la Donnée.,Ingénieure Analyste - Responsable Reporting et Gestion de la Donnée,Veolia France,female
545,zsmith,,À la recherche d'un poste de Data Analyst,,male
546,michael00,Senior Analytics Engineer,Senior Analytics Engineer,,male
547,sgardner,Chargé de projets R&D chez Vivelys,Ingénieur - Analyste données techniques et reporting,,male
548,nsmith,Scientific Researcher,Data Analyst | Scientist (PhD).,,male
549,lindsey32,Directeur Artistique et Consultant UI-UX,Consultant Gaming  Dev Fullstack & Data,Quest Fantasy,male
550,wayne20,Data Analyst,Chef de projet IT Junior,,female
551,pricecatherine,Data Scientist/Analyst full-stack,Data Engineer | Data Analyst | Data Scientist | MLOps,Plug In Digital,male
552,anthony73,Ingénieure biostatistiques chez CIRAD,AGS maize,,female
553,hduarte,Chercheur modélisateur,Ingénieur de recherche,AgroParisTech,female
554,markwhitney,Analyste de données,Data Engineer | Data Scientist | Data Analyst,Académie de Montpellier,female
555,marc07,Ingénieur en Developpement Logiciel pour la Bioinformatique,Bioinformatics | Data Science | Machine Learning,Institut de Génomique Fonctionnelle,male
556,corey05,Data analyst - Analytics Engineer ,Data Analyst (Python/SQL) - Analytics engineer (DBT),,male
557,sheri21,Analyste de données,Data Analyst - PwC France,,male
558,cassandra48,Support Data Analyst,Support Data Analyst  Support Client,,male
559,lauraperez,Data analyst senior,Data Analyst Senior,Geomesure,female
560,tiffanylong,Data-analyst,Data-analyst | Développeur,CHU de Montpellier,male
561,doyleterri,Data Engineer,Data Engineer 💻 | Engineer in Computer Science,,female
562,nelsoneric,Data Analyste & Scientiste,Data Analyste & Scientiste,Iveco Group,female
563,davidluna,Analyste de données,Master 1 Alternant  MSC Data Science – Analyste de données chez Solutions30 – Cofondateur de Nirs-Utils,Solutions30 France,male
564,griffinnicole,Data Engineer,Data Engineer chez Free Mobile,,female
565,lwyatt,Product Data Analyst,Data Analyst chez Partoo (full remote),,female
566,nathan48,Analyste des données d'activités hospitalières,Analyste des données d'activités hospitalières chez CHU de Montpellier,CHU de Montpellier,male
567,tstout,Data Engineer,Data Engineer @ FreeMobile Groupe Iliad,,female
568,kaylabryant,Lead Developer,Lead Developer,,male
569,chad44,Data Analyste,Analyst Developer,Acelys Services Numériques,female
570,joseph52,Developpeur data,Consultante,Orange,female
571,martinerin,Analyste SOC,Analyste SOC,Devensys Cybersecurity,male
572,lori93,Artificial Intelligence Engineer,Data scientist  Phd,,male
573,brianthompson,Data analyst,Data Analyst chez BPCE,,female
574,morenomichelle,Responsable qualité - Analyste fonctionnelle SI,Analyste fonctionnelle SI - Responsable qualité chez SATT AxLR,SATT AxLR,female
575,frances20,,Analyste de données chez CNRS - Centre national de la recherche scientifique,CNRS,male
576,franklinmichael,Data Engineer Confirme,Data Scientist Engineer,,male
577,philipcox,Lead Data & AI Engineer,Big Data & BI  Looking for an internship : 4 months April-August 2021 in Montpellier as a Data Engineer or Analyst,Capgemini Engineering,male
578,cperry,BI Consultant,Data Engineer | BI & Big Data | ETL  Data Integration  Visualization 📊 | Optimization of Decision-Making Processes,,female
579,kimberly87,Data Analyst,Étudiante en master Marketing et Data Analytics,TotalEnergies,female
580,grussell,Data Analyst,Data Analyst,Espelia,male
581,etucker,Analyste de données,Data Analyst,Crédit Agricole Technologies et Services,male
582,stephanie36,Chargé de projet experience client ,Digital Customer Experience Analyst,Yelloh Village,male
583,whiteheadjohn,Analyste de données,Data analyst,Caisse d'Epargne Languedoc-Roussillon,male
584,eevans,Technicien R&D Bureau d'études,Développeur et technicien en électronique diplômé d'un DUT Génie Electrique et Informatique Industrielle (GEII) et d'un Master 2 en Image & Son (Bac +5),IdealSoft,male
585,cassandra36,Data Analyst,Data Analyst chez PwC,PwC,male
586,jamesdaniels,Analyste de données,Analyste de données chez PwC SODA,PwC SODA,male
587,melissa73,Growth Marketer & Formateur,Growth Marketer (Ads | Landing Page | E-mail). Partage des tips pour les marques faisant de la LeadGen' (surtout) ou du e-commerce (parfois).,La Strat,male
588,patricia97,Data Analyst,Data Analyst,,male
589,stephen90,Analyste de données,Consultante en intelligence décisionnelle,Capgemini,female
590,ofisher,Edition de site web,Édition de site & webmaster freelance ☀️,Tremplin Numérique,female
591,ryanwong,Ingénieur développement logiciels,Ingénieur informaticien,,male
592,cynthia35,Formateur en IA,🧑‍🏫Professeur  📹 Créateur de contenu et 🤖 DataScientist.,Stafy,male
593,mckenzie18,Analyste de données,Analyste de Données confirmée,Acelys Services Numériques,female
594,michaelcox,Senior Data Scientist / Machine Learning Engineer,Machine Learning  Data & Software Engineering,,male
595,heatherperkins,Bioinformatic NGS Data Analyst/Scientist   Associat Scientist,Scientist with a passion to understand Evolution. Bioinformatic NGS Data Scientist   chez Bioversity International,,female
596,justinnorton,Ingénieur de données,Data Engineer Consultant,CGI,male
597,dennismelissa,Freelance Data,Analytics Engineer | Python | SQL | BI,GIE Comutitres,male
598,smurphy,Data Analyst Crédit Agricole du Languedoc,Data Analyst,,male
599,ibarton,Responsable Developpement,Responsable Developpement chez CDC Habitat Elue à la ville de Castelnau-Le-Lez,Ville de Castelnau-le-Lez,female
600,haynesbrian,Consultant Data Science et IA,Ingénieur IA | Machine Learning | Data Scientist | Data Analyst | RQTH,Freelance,male
601,jyang,Pilote de Projet SI et Data Analyst,Pilote de Projet SI et Data Analyst,,male
